,e_lfanew,NumberOfSections,Characteristics,DllCharacteristics,CheckSum,SizeOfImage,Subsystem,ImageBase,AddressOfEntryPoint,SizeOfInitializedData,SizeOfUninitializedData,firstSectionRawSize,firstSectionVirtualSize,rsrcSectionRawSize,rsrcSectionVirtualSize,Label
0,232,6,34,33120,215871,172032,2,5368709120,39616,55808,0,106496,106056,39424,39224,0
1,120,8,290,34112,0,704512,2,4194304,4368,93184,0,582144,582071,1536,1352,0
2,256,6,34,33120,234040,278528,3,5368709120,150060,112128,0,148992,148619,2048,1696,0
3,256,4,259,33024,0,913408,2,4194304,27517,819200,0,82944,82715,615936,615608,0
4,280,5,258,33088,0,385024,3,4194304,219195,151040,0,219136,218730,512,480,0
5,216,11,34,16736,107338,86016,1,7516192768,70352,14848,0,16384,15938,1536,1040,0
6,264,4,35,33088,134866,73728,2,268435456,46960,9216,0,52736,52438,4096,3960,0
7,128,2,34,34112,377802,344064,2,5368709120,0,130048,0,197632,197320,130048,129928,0
8,240,5,258,49472,109246,90112,2,4194304,10528,64000,0,9216,8956,56832,56392,0
9,256,5,3330,33088,944020,954368,2,4194304,250126,517120,0,422912,422492,317440,317424,0
10,272,13,34,0,2775743,3330048,1,65536,3305572,1079808,0,1762304,1762046,1536,1104,0
11,216,7,34,128,66534,36864,1,5368709120,8976,5120,0,5120,4884,1024,992,0
12,232,10,34,16736,129885,151552,1,7516192768,136272,19968,0,97792,97566,4096,4096,0
13,232,5,35,32768,463722,454656,2,5368709120,343264,91648,0,340480,340339,21504,21012,0
14,216,6,782,0,78288,38080,1,65536,24159,7392,0,28224,28204,832,824,0
15,224,4,258,33088,86272,86016,2,16777216,51806,19968,0,57344,56946,13824,13480,0
16,232,4,258,33088,74682,53248,2,16777216,28895,9216,0,34816,34526,3072,3008,0
17,216,7,34,0,57577,32768,1,65536,26344,4096,0,1024,518,1536,1048,0
18,248,6,34,33120,205191,274432,3,5368709120,144876,43008,0,143872,143483,1536,1312,0
19,296,6,291,32768,1643194,1626112,2,4194304,262641,1311232,0,292352,292028,1205760,1205328,0
20,312,8,34,33120,15006996,15253504,3,5368709120,8715076,5768704,0,9459200,9459100,2048,1688,0
21,248,6,34,49504,136992,94208,2,5368709120,10144,67584,0,8704,8608,56832,56376,0
22,224,7,34,0,64333,32768,1,65536,25588,4096,0,1536,1318,1536,1048,0
23,312,4,291,32768,0,11968512,3,4194304,4475,4441600,0,7519232,7518746,51712,51472,0
24,256,4,259,32768,309913,303104,2,4194304,92649,67584,0,216576,216444,20992,20784,0
25,200,4,34,33088,66807,20480,3,4294967296,5992,1536,0,4096,3618,0,0,0
26,200,6,270,0,82154,52928,1,65536,872,44896,0,6656,6643,864,840,0
27,312,6,34,33120,14138447,14286848,3,5368709120,7714444,5376512,0,8893440,8893359,2048,1728,0
28,224,5,34,33088,0,303104,3,5368709120,108344,114176,0,180224,180166,0,0,0
29,240,6,3106,49504,195885,151552,2,5368709120,75024,51200,0,78848,78803,4096,4016,0
30,240,7,34,49504,330035,315392,2,5368709120,92672,96256,0,198656,198288,34816,34360,0
31,216,10,34,0,239981,294912,1,65536,213024,25088,0,204800,204544,1024,1008,0
32,256,5,258,33088,1006276,1011712,2,4194304,379112,522240,0,464896,464420,305664,305176,0
33,216,4,271,0,303718,245760,2,4194304,4101,225280,0,16384,13742,208896,208892,0
34,128,3,258,34112,277421,270336,3,4194304,246238,2560,0,238080,238052,2048,1600,0
35,224,6,34,49504,56854,40960,3,5368709120,10864,10752,0,8704,8224,2048,2040,0
36,256,8,34,352,139397,106496,1,5368709120,64804,14848,0,64512,64134,1024,944,0
37,128,9,551,32768,101122,90112,3,4299161600,4096,60928,1024,44032,44024,1536,1256,0
38,224,6,258,1024,303796,282624,1,65536,249918,26624,0,233984,233854,17920,17848,0
39,304,6,291,33024,0,22024192,2,4194304,1529177,14373376,0,7628800,7628731,131072,131000,0
40,432,7,34,0,13318658,68902912,2,5368709120,7004,24443904,0,4096,43909120,73728,73728,0
41,264,5,258,33216,392084,393216,2,4194304,142819,164864,0,207360,206886,83456,83256,0
42,248,7,34,32832,261183,262144,3,16777216,8504,29184,0,189440,189306,1024,984,0
43,248,7,34,49504,424266,458752,3,5368709120,236496,191488,0,249856,249452,12800,12536,0
44,240,5,34,33088,333183,319488,2,4294967296,256964,14336,0,289280,289154,2560,2400,0
